index,baseline_scores
505,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.2626262626262626, 'ROUGE-2': 0.10309278350515466, 'ROUGE-L': 0.1818181818181818, 'BLEU': 0.023693069942967784}"
506,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.18461538461538463, 'ROUGE-2': 0.06349206349206349, 'ROUGE-L': 0.12307692307692307, 'BLEU': 0.020396549399974984}"
507,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.1794871794871795, 'ROUGE-2': 0.07894736842105263, 'ROUGE-L': 0.1794871794871795, 'BLEU': 0.027685365352246555}"
508,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.1842105263157895, 'ROUGE-2': 0.09333333333333335, 'ROUGE-L': 0.1842105263157895, 'BLEU': 0.015699471882956843}"
509,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.14473684210526316, 'ROUGE-2': 0.04, 'ROUGE-L': 0.11842105263157894, 'BLEU': 0.00856957038143778}"
510,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.2336448598130841, 'ROUGE-2': 0.009433962264150943, 'ROUGE-L': 0.1588785046728972, 'BLEU': 0.008427512695844007}"
511,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.21468926553672313, 'ROUGE-2': 0.03428571428571429, 'ROUGE-L': 0.16949152542372883, 'BLEU': 0.012535085756927182}"
512,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.2745098039215686, 'ROUGE-2': 0.12244897959183673, 'ROUGE-L': 0.23529411764705882, 'BLEU': 0.028236962694547663}"
513,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.22950819672131145, 'ROUGE-2': 0.06779661016949153, 'ROUGE-L': 0.22950819672131145, 'BLEU': 0.02428706324042873}"
514,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 3.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.27076923076923076, 'ROUGE-2': 0.01857585139318886, 'ROUGE-L': 0.2030769230769231, 'BLEU': 0.01047058757313888}"
515,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.3150684931506849, 'ROUGE-2': 0.08333333333333333, 'ROUGE-L': 0.1917808219178082, 'BLEU': 0.045455217463314344}"
516,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.24193548387096772, 'ROUGE-2': 0.01639344262295082, 'ROUGE-L': 0.1935483870967742, 'BLEU': 0.012848364793338682}"
517,"{'Descriptiveness': 4.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.21897810218978103, 'ROUGE-2': 0.07407407407407407, 'ROUGE-L': 0.20437956204379562, 'BLEU': 0.02224594896203049}"
518,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.09999999999999999, 'ROUGE-2': 0.0, 'ROUGE-L': 0.07777777777777778, 'BLEU': 0.003946894219197756}"
519,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.20408163265306126, 'ROUGE-2': 0.08333333333333333, 'ROUGE-L': 0.14285714285714288, 'BLEU': 0.014024924878638908}"
520,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.22510822510822512, 'ROUGE-2': 0.07860262008733625, 'ROUGE-L': 0.17316017316017318, 'BLEU': 0.03520262359134521}"
521,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 2.0, 'Overall_Average': 1.6, 'ROUGE-1': 0.23529411764705882, 'ROUGE-2': 0.032432432432432434, 'ROUGE-L': 0.1497326203208556, 'BLEU': 0.010393785481283606}"
522,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.1931818181818182, 'ROUGE-2': 0.05747126436781609, 'ROUGE-L': 0.15909090909090912, 'BLEU': 0.00963062485434315}"
523,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.21468926553672316, 'ROUGE-2': 0.05714285714285714, 'ROUGE-L': 0.1694915254237288, 'BLEU': 0.010429765071945119}"
524,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.27999999999999997, 'ROUGE-2': 0.10204081632653061, 'ROUGE-L': 0.16, 'BLEU': 0.01781049024787126}"
525,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.22641509433962265, 'ROUGE-2': 0.07692307692307691, 'ROUGE-L': 0.18867924528301885, 'BLEU': 0.013869991680492536}"
526,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.3282051282051282, 'ROUGE-2': 0.11398963730569948, 'ROUGE-L': 0.17435897435897435, 'BLEU': 0.04312345313730874}"
527,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.13100436681222707, 'ROUGE-2': 0.017621145374449337, 'ROUGE-L': 0.10480349344978165, 'BLEU': 0.009818203849806122}"
528,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 2.0, 'Conciseness': 1.0, 'Overall_Average': 1.2, 'ROUGE-1': 0.24528301886792453, 'ROUGE-2': 0.0761904761904762, 'ROUGE-L': 0.19811320754716982, 'BLEU': 0.021608161206900373}"
529,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.0670391061452514, 'ROUGE-2': 0.0, 'ROUGE-L': 0.0670391061452514, 'BLEU': 0.0035865339106323367}"
530,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.23148148148148145, 'ROUGE-2': 0.009345794392523364, 'ROUGE-L': 0.14814814814814814, 'BLEU': 0.007999984550488884}"
531,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.19277108433734938, 'ROUGE-2': 0.0, 'ROUGE-L': 0.14457831325301204, 'BLEU': 0.007237564780820319}"
532,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.4, 'ROUGE-1': 0.19310344827586207, 'ROUGE-2': 0.013986013986013984, 'ROUGE-L': 0.16551724137931034, 'BLEU': 0.012002852854080993}"
533,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.3234042553191489, 'ROUGE-2': 0.07725321888412018, 'ROUGE-L': 0.22127659574468087, 'BLEU': 0.012571958148160627}"
534,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.0, 'ROUGE-1': 0.19047619047619047, 'ROUGE-2': 0.06451612903225806, 'ROUGE-L': 0.19047619047619047, 'BLEU': 0.012234456929084052}"
535,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.3018867924528302, 'ROUGE-2': 0.09615384615384615, 'ROUGE-L': 0.24528301886792453, 'BLEU': 0.02298922438082577}"
536,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.05714285714285715, 'ROUGE-2': 0.0, 'ROUGE-L': 0.05714285714285715, 'BLEU': 0.003695677986058068}"
537,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.3058823529411765, 'ROUGE-2': 0.07905138339920947, 'ROUGE-L': 0.18039215686274507, 'BLEU': 0.026481481317626603}"
538,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 1.0, 'Overall_Average': 1.6, 'ROUGE-1': 0.1590909090909091, 'ROUGE-2': 0.022988505747126436, 'ROUGE-L': 0.10227272727272725, 'BLEU': 0.009508836949928054}"
539,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.10909090909090907, 'ROUGE-2': 0.0, 'ROUGE-L': 0.09090909090909091, 'BLEU': 0.005572925363505888}"
540,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.19658119658119658, 'ROUGE-2': 0.017241379310344827, 'ROUGE-L': 0.13675213675213674, 'BLEU': 0.009529805903320294}"
541,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 3.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.1456953642384106, 'ROUGE-2': 0.04026845637583893, 'ROUGE-L': 0.13245033112582782, 'BLEU': 0.007625310190390207}"
542,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.28571428571428564, 'ROUGE-2': 0.14583333333333331, 'ROUGE-L': 0.2653061224489796, 'BLEU': 0.028099484284804115}"
543,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.24000000000000002, 'ROUGE-2': 0.10404624277456648, 'ROUGE-L': 0.18285714285714286, 'BLEU': 0.04089007472198679}"
544,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.08, 'ROUGE-2': 0.013513513513513514, 'ROUGE-L': 0.08, 'BLEU': 0.006429798216791453}"
545,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.20987654320987656, 'ROUGE-2': 0.0625, 'ROUGE-L': 0.18518518518518517, 'BLEU': 0.02485258950307119}"
546,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.11764705882352941, 'ROUGE-2': 0.0, 'ROUGE-L': 0.10294117647058824, 'BLEU': 0.006636401784453337}"
547,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 1.0, 'Conciseness': 4.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.17204301075268819, 'ROUGE-2': 0.05434782608695653, 'ROUGE-L': 0.11827956989247311, 'BLEU': 0.00941917895562889}"
548,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.1683168316831683, 'ROUGE-2': 0.039999999999999994, 'ROUGE-L': 0.12871287128712872, 'BLEU': 0.01999895133747606}"
549,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.057803468208092484, 'ROUGE-2': 0.011695906432748539, 'ROUGE-L': 0.057803468208092484, 'BLEU': 0.004632445066542272}"
550,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.19895287958115185, 'ROUGE-2': 0.021164021164021163, 'ROUGE-L': 0.14659685863874347, 'BLEU': 0.008949482805084265}"
551,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.3425925925925926, 'ROUGE-2': 0.14953271028037382, 'ROUGE-L': 0.24074074074074073, 'BLEU': 0.03960503889238558}"
552,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.19736842105263155, 'ROUGE-2': 0.04, 'ROUGE-L': 0.17105263157894735, 'BLEU': 0.007641326625140139}"
553,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.254335260115607, 'ROUGE-2': 0.08187134502923976, 'ROUGE-L': 0.18497109826589594, 'BLEU': 0.024749642589503705}"
554,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.24864864864864866, 'ROUGE-2': 0.07650273224043716, 'ROUGE-L': 0.16216216216216214, 'BLEU': 0.012053936209407293}"
555,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.1229050279329609, 'ROUGE-2': 0.06779661016949153, 'ROUGE-L': 0.11173184357541899, 'BLEU': 0.02615340834848748}"
556,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.2755102040816327, 'ROUGE-2': 0.08247422680412371, 'ROUGE-L': 0.19387755102040813, 'BLEU': 0.010444764234080885}"
557,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.24489795918367346, 'ROUGE-2': 0.0425531914893617, 'ROUGE-L': 0.20408163265306123, 'BLEU': 0.013150919401790927}"
558,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.4, 'ROUGE-1': 0.11707317073170731, 'ROUGE-2': 0.0, 'ROUGE-L': 0.07804878048780488, 'BLEU': 0.0041303953363288565}"
559,"{'Descriptiveness': 1.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.3116883116883117, 'ROUGE-2': 0.10666666666666666, 'ROUGE-L': 0.25974025974025977, 'BLEU': 0.025748259417460412}"
560,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.17877094972067037, 'ROUGE-2': 0.0790960451977401, 'ROUGE-L': 0.14525139664804468, 'BLEU': 0.030485840857876784}"
561,"{'Descriptiveness': 3.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.14634146341463417, 'ROUGE-2': 0.0, 'ROUGE-L': 0.14634146341463417, 'BLEU': 0.007790521918183683}"
562,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.291497975708502, 'ROUGE-2': 0.09795918367346938, 'ROUGE-L': 0.21052631578947373, 'BLEU': 0.02003173128540271}"
563,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.2, 'ROUGE-2': 0.06329113924050633, 'ROUGE-L': 0.1625, 'BLEU': 0.022943233932937245}"
564,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.16352201257861634, 'ROUGE-2': 0.050955414012738856, 'ROUGE-L': 0.15094339622641506, 'BLEU': 0.00949071692803055}"
565,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.35416666666666674, 'ROUGE-2': 0.14893617021276595, 'ROUGE-L': 0.2916666666666667, 'BLEU': 0.046980264321105726}"
566,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.35616438356164387, 'ROUGE-2': 0.11267605633802817, 'ROUGE-L': 0.21917808219178084, 'BLEU': 0.08519620064976903}"
567,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.2549019607843137, 'ROUGE-2': 0.0594059405940594, 'ROUGE-L': 0.1568627450980392, 'BLEU': 0.00962192178794506}"
568,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.20454545454545456, 'ROUGE-2': 0.023255813953488372, 'ROUGE-L': 0.20454545454545456, 'BLEU': 0.01813364613934503}"
569,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 2.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.21111111111111114, 'ROUGE-2': 0.033707865168539325, 'ROUGE-L': 0.17777777777777776, 'BLEU': 0.008996859797179613}"
570,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.2446043165467626, 'ROUGE-2': 0.043795620437956206, 'ROUGE-L': 0.15827338129496404, 'BLEU': 0.02068586931136994}"
571,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.24615384615384617, 'ROUGE-2': 0.031746031746031744, 'ROUGE-L': 0.18461538461538457, 'BLEU': 0.008861570533504573}"
572,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.2608695652173913, 'ROUGE-2': 0.06374501992031871, 'ROUGE-L': 0.15810276679841895, 'BLEU': 0.019862672025466314}"
573,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.13397129186602869, 'ROUGE-2': 0.04830917874396135, 'ROUGE-L': 0.10526315789473685, 'BLEU': 0.01312119701498819}"
574,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 5.0, 'Fluency': 1.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.13636363636363635, 'ROUGE-2': 0.011494252873563218, 'ROUGE-L': 0.125, 'BLEU': 0.0038248476924263226}"
575,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.08053691275167785, 'ROUGE-2': 0.027210884353741496, 'ROUGE-L': 0.08053691275167785, 'BLEU': 0.005373308061813438}"
576,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.04, 'ROUGE-2': 0.0, 'ROUGE-L': 0.04, 'BLEU': 0.002868837001147579}"
577,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.21582733812949642, 'ROUGE-2': 0.029197080291970802, 'ROUGE-L': 0.14388489208633093, 'BLEU': 0.011983090644488744}"
578,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.1767955801104972, 'ROUGE-2': 0.0335195530726257, 'ROUGE-L': 0.12154696132596685, 'BLEU': 0.008511188976665952}"
579,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.23306233062330625, 'ROUGE-2': 0.0653950953678474, 'ROUGE-L': 0.14634146341463414, 'BLEU': 0.020866595425701396}"
580,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.33050847457627114, 'ROUGE-2': 0.10256410256410256, 'ROUGE-L': 0.22881355932203393, 'BLEU': 0.01470591095327533}"
581,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.15075376884422112, 'ROUGE-2': 0.0, 'ROUGE-L': 0.11055276381909547, 'BLEU': 0.0045372473118740295}"
582,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.19607843137254902, 'ROUGE-2': 0.08163265306122448, 'ROUGE-L': 0.1568627450980392, 'BLEU': 0.019962303473537214}"
583,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.2771084337349397, 'ROUGE-2': 0.06060606060606061, 'ROUGE-L': 0.19277108433734938, 'BLEU': 0.024811532046394455}"
584,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.32835820895522394, 'ROUGE-2': 0.15384615384615385, 'ROUGE-L': 0.208955223880597, 'BLEU': 0.1047141144567744}"
585,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 2.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.09345794392523364, 'ROUGE-2': 0.0, 'ROUGE-L': 0.09345794392523364, 'BLEU': 0.003989930244181782}"
586,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.11009174311926605, 'ROUGE-2': 0.03738317757009346, 'ROUGE-L': 0.07339449541284404, 'BLEU': 0.011111743132034273}"
587,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.16129032258064513, 'ROUGE-2': 0.043478260869565216, 'ROUGE-L': 0.0967741935483871, 'BLEU': 0.00978415733850691}"
588,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.15384615384615385, 'ROUGE-2': 0.022222222222222223, 'ROUGE-L': 0.1208791208791209, 'BLEU': 0.007722867877106511}"
589,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.20606060606060606, 'ROUGE-2': 0.03680981595092025, 'ROUGE-L': 0.14545454545454545, 'BLEU': 0.017617863095916224}"
590,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.1, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1, 'BLEU': 0.008811835296733616}"
591,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.2826855123674912, 'ROUGE-2': 0.07117437722419928, 'ROUGE-L': 0.22614840989399293, 'BLEU': 0.020985640674818708}"
592,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.2028985507246377, 'ROUGE-2': 0.044117647058823525, 'ROUGE-L': 0.15942028985507245, 'BLEU': 0.017403328075675736}"
